REPORTED DATE :	12/11/2020	Page 1	SALEE COLOUR PUBLIC CO.,LTD.	 858 Moo 2, Soi 1C/1 Bangpu Industrial Estate, Bangpumai,  Muang Samutprakarn, Samutprakarn 10280, Thailand.
Tel : (66)0-2323-2601-8  Fax  (66)0-2323-2227-8	LOSS ON PROCESS
End days = จำนวนวันหลังจากที่โพส GR. จนถึงวัน End process	Delivery lead time : จำนวนวันโดยนับตั้งแต่เริ่มสร้าง Production จนถึงการ End process	Act lead time : จำนวนวันโดยนับจากการ Start production จนถึงการ End process
Item number	Item group	Production	Batch number	Configuration	Work center	S/O No.	Order	MIS.	GR.	LOSS	KPI % loss	%	Result	% Variance	Price variance	Quantity variance	Substitution variance	Total variance	Started	Ended date	End days	Act. lead time	Delivery lead time
MTBK21395	FG-BLACK	PD63000279	FS63-000505	TWIN-L	21HM75-1	SO63000473	26.000	29.618	29.618	0.000	3.100	0.000	Pass	20.730	503.835	115.178	67.015	686.028	23/1/2020	30/1/2020	1	8	9
MTBK21452	FG-BLACK	PD63000160	FS63-000296	TWIN-L	21HM200-3	SO63000277	510.000	510.000	492.500	17.500	2.100	3.431	Fail	69.093	22,157.995	3,193.597	0.000	25,351.592	14/1/2020	23/1/2020	3	10	11
MTBK21452	FG-BLACK	PD63000161	FS63-000297	TWIN-L	21HM200-3	SO63000277	2,010.000	2,010.000	2,000.000	10.000	1.000	0.498	Pass	-3.519	-4,880.055	1,289.132	-1,652.833	-5,243.756	20/1/2020	27/1/2020	3	8	15
MTBK21452	FG-BLACK	PD63000162	FS63-000298	TWIN-L	21HM200-3	SO63000277	2,010.000	2,010.000	2,000.000	10.000	1.000	0.498	Pass	-7.737	-10,616.234	741.348	-1,652.833	-11,527.719	20/1/2020	27/1/2020	1	8	15
MTBK21452	FG-BLACK	PD63000163	FS63-000299	TWIN-L	21HM200-3	SO63000277	1,600.000	1,600.000	1,547.700	52.300	1.000	3.269	Fail	-0.965	-3,154.456	3,321.299	-1,279.045	-1,112.202	22/1/2020	27/1/2020	1	6	15
MTBL10364	FG-COLOUR	PD63000143	FS63-000274	TWIN-L	21HM200-3	SO63000258	50.200	50.200	49.300	0.900	3.100	1.793	Pass	38.200	1,475.109	80.540	271.920	1,827.569	13/1/2020	23/1/2020	2	11	11
MTBL15130	FG-COLOUR	PD63000144	FS63-000275	TWIN-L	21HM75-1	SO63000257	25.000	25.000	24.300	0.700	3.100	2.800	Pass	26.688	549.409	144.076	0.000	693.485	13/1/2020	22/1/2020	2	10	10
MTBL18992	FG-COLOUR	PD63000268	FS63-000479	TWIN-L	21HM75-1	SO63000445	26.401	26.401	25.700	0.701	3.100	2.655	Pass	50.884	1,224.535	58.998	256.691	1,540.224	23/1/2020	28/1/2020	1	6	8
MTBL19298	FG-COLOUR	PD63000142	FS63-000273	TWIN-L	21HM75-1	SO63000258	25.700	25.700	25.200	0.500	3.100	1.946	Pass	40.029	891.753	130.791	207.254	1,229.798	13/1/2020	22/1/2020	2	10	10
MTBL19561	FG-COLOUR	PD63000141	FS63-000272	TWIN-L	21HM75-1	SO63000258	25.700	25.700	24.800	0.900	3.100	3.502	Fail	27.898	660.031	8.168	217.666	885.865	13/1/2020	22/1/2020	2	10	10
MTBL2024	FG-COLOUR	PD63000285	FS63-000514	TWIN-L	21HM75-1	SO63000468	26.800	26.800	25.900	0.900	3.100	3.358	Fail	40.603	1,301.491	115.683	292.664	1,709.838	23/1/2020	28/1/2020	1	6	7
MTBL20806	FG-COLOUR	PD63000138	FS63-000269	TWIN-L	21HM200-3	SO63000258	50.400	50.400	48.500	1.900	3.100	3.770	Fail	51.257	4,279.432	625.309	39.473	4,944.214	13/1/2020	23/1/2020	2	11	11
MTBL21406	FG-COLOUR	PD63000002	FS63-000001	TWIN-L	Packer_1	SO62008316	55.000	55.000	54.500	0.500	3.100	0.909	Pass	4.887	0.000	0.000	413.839	413.839	6/1/2020	8/1/2020	2	3	3
MTBR14046	FG-COLOUR	PD63000033	FS63-000058	TWIN-L	21HM200-1	SO63000027	1,010.000	1,010.000	1,006.400	3.600	1.000	0.356	Pass	-19.283	-30,648.747	-3,677.497	-25,754.443	-60,080.687	14/1/2020	25/1/2020	1	12	20
MTBR17939	FG-COLOUR	PD63000259	FS63-000469	TWIN-L	Packer_1	SO63000437	25.000	25.000	25.000	0.000	3.100	0.000	Pass	2.921	0.000	0.000	118.902	118.902	21/1/2020	24/1/2020	2	4	4
MTBR17939	FG-COLOUR	PD63000260	FS63-000470	TWIN-S	Packer_1	SO63000437	103.500	103.500	103.200	0.300	2.100	0.290	Pass	1.766	0.000	0.000	284.667	284.667	21/1/2020	24/1/2020	2	4	4
MTBR8122	FG-COLOUR	PD63000099	FS63-000158	TWIN-L	21HM200-3	SO63000127	205.300	205.301	202.700	2.601	2.100	1.267	Pass	-9.864	-5,018.711	-458.187	80.958	-5,395.940	9/1/2020	15/1/2020	2	7	7
MTBR8122	FG-COLOUR	PD63000256	FS63-000466	TWIN-L	21HM200-3	SO63000415	502.700	502.700	497.700	5.000	2.100	0.995	Pass	-3.710	-4,490.823	-1,220.418	728.624	-4,982.617	21/1/2020	29/1/2020	2	9	9
MTGN17056	FG-COLOUR	PD62004117	FS62-006857	TWIN-L	21HM75-1	SO62008258	25.000	25.001	23.400	1.601	3.100	6.404	Fail	60.267	1,422.264	249.680	0.000	1,671.944	26/12/2019	8/1/2020	1	14	16
MTGN19185	FG-COLOUR	PD63000017	FS63-000019	TWIN-L	21HM200-1	SO63000007	205.000	205.001	202.500	2.501	2.100	1.220	Pass	-15.836	-5,694.036	-132.596	498.470	-5,328.162	8/1/2020	13/1/2020	4	6	8
REPORTED DATE :	12/11/2020	Page 6	SALEE COLOUR PUBLIC CO.,LTD.	 858 Moo 2, Soi 1C/1 Bangpu Industrial Estate, Bangpumai,  Muang Samutprakarn, Samutprakarn 10280, Thailand.
Tel : (66)0-2323-2601-8  Fax  (66)0-2323-2227-8	LOSS ON PROCESS
End days = จำนวนวันหลังจากที่โพส GR. จนถึงวัน End process	Delivery lead time : จำนวนวันโดยนับตั้งแต่เริ่มสร้าง Production จนถึงการ End process	Act lead time : จำนวนวันโดยนับจากการ Start production จนถึงการ End process
Item number	Item group	Production	Batch number	Configuration	Work center	S/O No.	Order	MIS.	GR.	LOSS	KPI % loss	%	Result	% Variance	Price variance	Quantity variance	Substitution variance	Total variance	Started	Ended date	End days	Act. lead time	Delivery lead time
MTGN8180	FG-COLOUR	PD63000274	FS63-000491	TWIN -L	21HM75-1	SO63000442	26.401	26.401	25.700	0.701	3.100	2.655	Pass	27.909	852.512	46.374	86.869	985.755	24/1/2020	29/1/2020	2	6	9
MTGY13671	FG-COLOUR	PD63000137	FS63-000268	TWIN-L	21HM75-1	SO63000258	25.800	26.644	25.300	1.344	3.100	5.044	Fail	129.289	2,892.334	18.119	911.339	3,821.792	13/1/2020	24/1/2020	2	12	12
MTOR14873	FG-COLOUR	PD63000139	FS63-000270	TWIN-L	21HM75-1	SO63000258	25.200	25.200	24.400	0.800	3.100	3.175	Fail	42.854	1,565.916	-156.773	621.429	2,030.572	13/1/2020	23/1/2020	3	11	11
MTOR15027	FG-COLOUR	PD63000304	FS63-000541	TWIN-L	21HM75-1	SO63000468	26.301	26.301	25.600	0.701	3.100	2.665	Pass	38.416	1,194.972	-16.313	301.290	1,479.949	24/1/2020	30/1/2020	1	7	7
MTOR19369	FG-COLOUR	PD62004110	FS62-006850	TWIN-L	21HM200-1	SO62008261	52.300	52.300	51.400	0.900	3.100	1.721	Pass	50.940	2,785.124	443.452	168.673	3,397.249	24/12/2019	7/1/2020	2	15	15
MTPK21008	FG-COLOUR	PD62004106	FS62-006845	TWIN-L	21HM75-1	SO62008250	24.641	24.641	23.800	0.841	3.100	3.413	Fail	34.807	790.753	74.140	146.508	1,011.401	25/12/2019	7/1/2020	1	14	16
MTRD7689	FG-COLOUR	PD62004101	FS62-006831	TWIN-L	21HM200-2	SO62008230	105.700	105.700	104.500	1.200	2.100	1.135	Pass	17.736	3,420.276	421.290	126.350	3,967.916	25/12/2019	9/1/2020	2	16	18
MTWH4640	FG-COL-WH	PD62004063	FS62-006770	TWIN-L	21HM200-4	SO62008157	1,011.300	1,011.300	1,000.000	11.300	1.000	1.117	Fail	-37.914	-43,240.338	-6,095.170	5,930.263	-43,405.245	24/12/2019	10/1/2020	1	18	24
