Item number	Item group	Production	Batch number	Configuration	Work center	S/O No.	Order	MIS.	GR.	LOSS	KPI % loss	%	Result	% Variance	Price variance	Quantity variance	Substitution variance	Total variance	Started	Ended date	End days	Act. lead time	Delivery lead time
MEOR15444	FG-COLOUR	PD63000061	FS63-000092	TWIN-L	21HM200-3	SO63000077	80.901	99.33	96.3	3.03	2.1	3.05	Fail	22.532	2917.840	-192.390	1620.920	4346.370	7/1/2020	15/1/2020	2	9	9
MTBR8122	FG-COLOUR	PD63000099	FS63-000158	TWIN-L	21HM200-3	SO63000127	205.3	205.301	202.7	2.601	2.1	1.267	Pass	-9.864	-5018.710	-458.190	80.960	-5395.940	9/1/2020	15/1/2020	2	7	7
MEGN21443	FG-COLOUR	PD63000102	FS63-000162	TWIN-L	21HM200-3	SO63000146	50	51.473	49.9	1.573	3.1	3.056	Pass	25.438	1941.210	345.710	-19.080	2267.840	9/1/2020	15/1/2020	1	7	7
MPWH13277	FG-COL-WH	PD63000107	FS63-000202	TWIN-L	21HM200-4	SO63000162	509.3	509.3	503.3	6	2.1	1.178	Pass	-15.317	-10855.700	-2166.390	2241.800	-10780.290	9/1/2020	15/1/2020	2	7	7
MERD9777	FG-COLOUR	PD63000116	FS63-000215	TWIN-L	21TM500-1	SO63000202	130	130	129.1	0.9	2.1	0.692	Pass	-4.068	-958.630	27.950	0.000	-930.680	10/1/2020	15/1/2020	2	6	6
MERD18513	FG-COLOUR	PD63000124	FS63-000250	TWIN-L	21TM500-1	SO63000236	250	250	248.3	1.7	2.1	0.68	Pass	-16.32	-7965.610	-523.470	0.000	-8489.080	13/1/2020	15/1/2020	2	3	3
SRLLP05-2	SRM	PD63000128	FS63-000254	OT	25PM500-3	Manual	22.94	22.94	22.9	0.04	3.1	0.174	Pass	194.013	703.860	585.580	0.000	1289.440	13/1/2020	15/1/2020	1	3	3
SRPTP05	SRM	PD63000148	FS63-000283	OT	25PM500-3	Manual	815.47	815.47	815.4	0.07	1	0.009	Pass	0.463	69.780	79.270	0.000	149.050	13/1/2020	15/1/2020	2	3	3
MHWH5428	FG-WHITE	PD63000149	FS63-000284	TWIN-S	Packer_1	SO63000259	122.7	122.7	122.5	0.2	2.1	0.163	Pass	1.362	0.000	0.000	202.660	202.660	13/1/2020	15/1/2020	2	3	3
MEBR21414	FG-COLOUR	PD62004128	FS62-006870	TWIN-L	21HM75-1	SO62008300	27	27	26.4	0.6	3.1	2.222	Pass	46.425	2947.760	437.910	0.000	3385.670	8/1/2020	16/1/2020	2	9	23
